port_name,state,coast,un_locode,terminal_or_berth,cargo_handled,max_permissible_draft_m,max_loa_m,max_beam_m,max_air_draft_m,max_dwt_t,max_vessel_class,nominal_discharge_rate_tpd,berth_type,tide_dependent,key_constraints_and_operational_notes,peak_discharge_rate_tph
Paradip Port,Odisha,East Coast,IN PRT,Dedicated Coal Berths / Mechanized Coal Handling Plant (MCHP) / PICT,"Thermal Coal, Coking Coal, Iron Ore, Fluxes",14.5,260.0,43.0,18.0,105000,Panamax / Post-Panamax (Baby-Cape with tidal draft/lighterage),35000,Direct Berth (Inner Harbor),Yes (Tidal window for >14.0m draft),Inner harbor draft capped at ~14.5m. Capesize vessels require lightering at offshore anchorage/Sandheads or must discharge at deep draft single-point moorings.,
Visakhapatnam (Vizag) Port,Andhra Pradesh,East Coast,IN VTZ,Outer Harbor (General Cargo Berth - VGCB / VCTPL),"Coking Coal, Thermal Coal, Iron Ore Pellets",18.1,300.0,50.0,22.0,200000,Capesize / Baby-Cape,45000,Deepwater Marine Terminal (Outer Harbor),No (All-weather deepwater harbor),"Outer harbor accommodates fully laden Capesize up to 200,000 DWT. Inner harbor is restricted to Panamax (max draft 11.5m - 14.5m).",
Visakhapatnam (Vizag) Port,Andhra Pradesh,East Coast,IN VTZ,Inner Harbor (Bulk Cargo Berths - EQ / WQ berths),"Met Coal, Gypsum, Limestone, Steam Coal",14.5,230.0,32.5,16.0,75000,Panamax / Supramax,20000,Quayside Inner Basin,Yes,Restricted by turning basin and channel width; strictly Panamax and below.,
Gangavaram Port,Andhra Pradesh,East Coast,IN GNR,GPL Deepwater Multipurpose Coal Berths,"Coking Coal, Thermal Coal, Anthracite, PCI, Limestone",18.5,320.0,50.0,24.0,200000,Capesize / Newcastlemax,55000,Direct Deepwater Berth,No,Privately operated deepwater port capable of handling gearless Capesize vessels directly with high-capacity rail-mounted grab unloaders.,
Dhamra Port,Odisha,East Coast,IN DHA,Dhamra Bulk Berth (Adani Ports DPCL),"Thermal Coal, Coking Coal, Limestone, Iron Ore",18.0,320.0,50.0,24.0,180000,Capesize,60000,Deepwater Jetty,No (Maintained deep channel),Deep natural draft; rapid discharge using mechanized continuous ship unloaders and dedicated railway merry-go-round linkages.,
Gopalpur Port,Odisha,East Coast,IN GOP,Gopalpur Bulk Berth,"Thermal Coal, Met Coal, Ilmenite Sand, Iron Ore",14.5,230.0,33.0,16.0,85000,Panamax / Supramax,22000,Direct Berth,Yes,Weather and swell sensitive during SW monsoon (June–Sept). Primarily handles Supramax and geared/gearless Panamax.,
Haldia Dock Complex (SMP Kolkata),West Bengal,East Coast,IN HAL,"Haldia Bulk Cargo Berths (Berth 2, 4A, 4B, 8)","Coking Coal, Thermal Coal, Met Coke, Limestone",8.5,195.0,32.2,14.0,55000,Handysize / Partially-Discharged Supramax,15000,Enclosed Dock Basin (Lock Gate),Yes (Severe tidal draft dependency and river sandbars),Severe draft restrictions due to Hooghly river sandbars (Auckland & Jellingham bars). Requires lock entrance; large bulkers must daughter-vessel discharge at Sandheads.,
Sagar Island & Sandheads (Anchorage),West Bengal,East Coast,IN SAG,Sandheads / Sagar Offshore Lighterage Anchorage,Import Coal (Coking/Thermal) Lighterage,16.5,300.0,50.0,0.0,180000,Capesize / Post-Panamax (Lightering),18000,Deepwater Open Anchorage / Transshipment,No (Anchorage depth),Used for floating-crane transshipment/lightering of Capesize/Panamax vessels bound for Haldia/Kolkata. Operations suspend during high swell / SW monsoon.,
Kattupalli Port,Tamil Nadu,East Coast,IN KAU,Kattupalli Bulk / General Cargo Terminal,"Thermal Coal, Coking Coal, Gypsum, Minerals",14.5,260.0,36.0,18.0,85000,Panamax / Post-Panamax,28000,Direct Pier / Wharf,No,Well-sheltered all-weather port north of Chennai handling mid-sized bulkers.,
Kamarajar (Ennore) Port,Tamil Nadu,East Coast,IN ENR,Coal Berth 1 & 2 (TANGEDCO) / Chettinad International Coal Terminal,"Thermal Coal, Coking Coal, Limestone",16.0,290.0,45.0,20.0,150000,Panamax / Baby-Cape / Capesize (Partially laden),40000,Direct Pier (Mechanized),No,Mechanized coal conveyors directly feeding Tamil Nadu thermal power stations.,
Chennai Port,Tamil Nadu,East Coast,IN MAA,Jawahar Dock / West Quay (Clean Bulk & Minerals),"Limestone, Gypsum, Clay (Dirty coal shifted to Ennore)",14.0,240.0,33.0,16.0,75000,Panamax,20000,Direct Inner Dock,No,Commercial thermal coal is banned inside city limits due to environmental norms; handles clean dry bulk.,
VOC Port (Tuticorin),Tamil Nadu,East Coast,IN TCR,Coal Jetty 1 & 2 / North Cargo Berth (NCB),"Thermal Coal, Industrial Coal, Rock Phosphate, Copper Concentrate",14.2,235.0,33.0,16.0,80000,Panamax,30000,Mechanized Coal Jetty,No,Southern terminal for coal imports feeding regional power plants and industrial clusters.,
Karaikal Port,Puducherry,East Coast,IN KRK,Karaikal Bulk Berth (Adani Ports KPPL),"Thermal Coal, Coking Coal, Gypsum, Petcoke",14.5,240.0,35.0,17.0,85000,Panamax / Supramax,25000,Direct Berth,No,Directly serves the central Tamil Nadu / Cauvery basin cement and textile power plants.,
Krishnapatnam Port,Andhra Pradesh,East Coast,IN KRI,Krishnapatnam Deepwater Bulk Berths,"Thermal Coal, Coking Coal, Fertilizers, Clinker",18.0,310.0,48.0,22.0,180000,Capesize,50000,Deepwater Quay,No,All-weather deepwater port capable of handling Capesize vessels with high discharge throughput.,4500.0
